date,URL,topic
25/08/03,https://www.scmp.com/news/people-culture/environment/article/3315608/chinese-youth-make-sun-protection-masks-giant-lotus-leaves-ignite-online-hilarity?module=perpetual_scroll_1_AI&pgtype=article%3E,"Chinese youth make sun protection masks from giant lotus leaves, ignite online hilarity"
25/08/04,https://en.wikipedia.org/wiki/Large_language_model,"Large language model"
25/08/05,https://www.theguardian.com/technology/2024/may/23/big-tech-ai-spending-spree-microsoft-meta-alphabet-amazon,"Big Tech's AI Spending Spree"
